pulsar_i,pulsar_j,angle_deg,hd_gamma,corr,sigma,n_overlap
B1855+09,B1937+21,15.576456259117759,0.38529998399986465,-0.1480259219597427,0.09982572179671971,99
B1855+09,B1937+21ao,15.576456244717756,0.3852999841600152,-0.12118397333320208,0.11612042089713205,75
B1855+09,B1937+21gbt,15.576456272912953,0.38529998384644043,-0.09737227685160948,0.11144205371689989,82
B1855+09,B1953+29,23.680826465812853,0.28942910488192186,0.4024961225578755,0.11971383876083938,52
B1855+09,J0023+0923,80.05811345187983,-0.15112942469024848,0.32248139202568665,0.11665001305902863,62
B1855+09,J0030+0451,82.50859197611207,-0.15189723445383252,-0.19429536183842894,0.10257612135478346,91
B1855+09,J0340+4130,111.6739769625273,-0.06022100621128812,0.33749243926557176,0.12925080172311176,50
B1855+09,J0406+3039,122.4330597455183,0.00404575189710521,-0.31877931970323514,0.22459493633238564,19
B1855+09,J0437-4715,132.17991714496074,0.06611070776940009,-0.44657547567657735,0.25316257158823025,13
B1855+09,J0509+0856,147.22952166650808,0.15540914881308365,-0.4477000975413488,0.1998911556653667,19
B1855+09,J0557+1551,150.43099245376794,0.17185297834632302,-0.7773244424294221,0.22849601724864524,6
B1855+09,J0605+3757,130.76368911293625,0.05710541865488883,-0.42921010592017605,0.4709900433700475,6
B1855+09,J0610-2100,163.95998921875196,0.22595415322229973,-0.5009556230906392,0.22584510188552384,14
B1855+09,J0613-0200,166.6479481301125,0.23324354087947924,-0.022906983774836704,0.1124497533657911,82
B1855+09,J0614-3329,154.2114613813246,0.18964511157061453,-0.3077216619960924,0.4048657678782253,8
B1855+09,J0636+5128,118.61850876106409,-0.01963535557946705,0.3688213930858253,0.13492956687478172,44
B1855+09,J0645+5158,118.25696904600878,-0.02183951752202462,0.5182371949446596,0.09953504424487739,57
B1855+09,J0709+0458,165.0195497885202,0.22897660852766133,-0.10740208610323256,0.2157007014611243,24
B1855+09,J0740+6620,103.52355603919244,-0.10120193103225705,0.12774451139895523,0.16171621609552056,40
B1855+09,J0931-1902,141.71787957047098,0.12460428360920639,-0.4561718999128524,0.1252115220153901,43
B1855+09,J1012+5307,104.77800195451175,-0.09548788962113397,0.07595811373572384,0.10365568099345435,95
B1855+09,J1012-4235,126.41352858194648,0.029312495766645297,-0.7377958823669458,0.16109916072285876,11
B1855+09,J1022+1001,125.23288811433927,0.02178243763524057,0.044118424480540694,0.18533389420117458,32
B1937+21,B1937+21ao,0.0,0.49999999995830346,0.9203696246951298,0.016394718502182624,90
B1937+21,B1937+21gbt,0.0,0.49999999995830346,0.9475704156291901,0.008692206605273927,141
B1937+21,B1953+29,8.362490144675935,0.45691008788521464,-0.22705026461364822,0.12453734691867287,61
B1937+21,J0023+0923,68.89563286380896,-0.12691286098751486,-0.15269765271471888,0.12208542835692689,67
B1937+21,J0030+0451,72.14281114947096,-0.13755387351961068,0.1601910585498923,0.10049537649129732,97
B1937+21,J0340+4130,96.10252848344571,-0.12958786199582972,0.0579953259588607,0.11432205186172213,79
B1937+21,J0406+3039,106.90071729927111,-0.0852919211050589,-0.025916632440362845,0.21807131942478064,24
B1937+21,J0437-4715,135.3807078288033,0.08625042099053892,0.020259865403626575,0.24243607334315714,20
B1937+21,J0509+0856,132.13923654592358,0.06585265798621348,-0.18725713887401932,0.21056602840250843,24
B1937+21,J0557+1551,134.981332976939,0.08375835604642867,-0.013485674638662399,0.4081740450333624,9
B1937+21,J0605+3757,116.44755322239736,-0.03274047638932376,-0.5652606125844287,0.20517257238126052,14
B1937+21,J0610-2100,159.18215085475242,0.2100048682959169,-0.520167856311697,0.13545089656192486,32
B1937+21,J0613-0200,151.36656735908753,0.17642799599821551,-0.5431229281604969,0.06356928580496765,126
B1937+21,J0614-3329,157.6913618022013,0.2042840689723749,0.5140540994707637,0.17341755691238345,21
B1937+21,J0636+5128,105.61277877755403,-0.0915549838937163,0.02258143237799924,0.12210714758028912,70
B1937+21,J0645+5158,105.51459825814172,-0.09202280906934235,-0.17826702997315336,0.10501829786814079,88
B1937+21,J0709+0458,152.40474377164495,0.18137498621082482,-0.11405973988947447,0.18994638637298297,30
B1937+21,J0740+6620,92.07401710995849,-0.14056999025047034,0.551985547820597,0.09129893253540168,61
B1937+21,J0931-1902,153.73014100312062,0.1874850035726804,-0.3845315811184284,0.10651693289032019,67
B1937+21,J1012+5307,98.28987648303512,-0.12225539682057862,-0.09159952507487822,0.08471891928625198,140
B1937+21,J1012-4235,141.93603429944812,0.12587544223013064,0.18602309561571215,0.21066654915491814,24
B1937+21,J1022+1001,128.9586315340294,0.045581824477716915,0.08406984492745469,0.17552728378373453,35
B1937+21ao,B1937+21gbt,0.0,0.49999999995830346,0.8223990828078837,0.03814366717164939,75
B1937+21ao,B1953+29,8.362490165771884,0.4569100877083572,-0.24203487886548827,0.12811091509789327,57
B1937+21ao,J0023+0923,68.8956328562693,-0.12691286095932108,-0.22697483057624376,0.13028408096991273,56
B1937+21ao,J0030+0451,72.14281114011547,-0.1375538734932642,0.3106636500803251,0.1079874821152307,73
B1937+21ao,J0340+4130,96.10252849844372,-0.12958786194874194,-0.013623084034992919,0.14741459263541545,49
B1937+21ao,J0406+3039,106.9007173118989,-0.08529192104252603,-0.00461553803428032,0.22941084658328534,22
B1937+21ao,J0437-4715,135.3807078033655,0.08625042083203072,0.08924833081281264,0.27514093120738226,16
B1937+21ao,J0509+0856,132.1392365547951,0.06585265804249274,-0.15641470011600886,0.22380294983283228,22
B1937+21ao,J0557+1551,134.98133299386913,0.08375835615221605,-0.03790498848655097,0.40766172415698276,9
B1937+21ao,J0605+3757,116.4475532447014,-0.03274047625638521,-0.5633430204122918,0.3052879645081454,8
B1937+21ao,J0610-2100,159.18215084505883,0.21000486825983344,-0.520945770684925,0.20208158152229466,16
B1937+21ao,J0613-0200,151.36656737006084,0.1764279960512331,-0.6288519000546787,0.07498461431913447,68
B1937+21ao,J0614-3329,157.691361779182,0.20428406888142037,0.486152894183849,0.3117609966429094,9
B1937+21ao,J0636+5128,105.6127788026696,-0.0915549837738645,-0.0002577140009041085,0.16222141035658252,41
B1937+21ao,J0645+5158,105.51459828362947,-0.09202280894807491,-0.11504014791251466,0.13554270187888431,56
B1937+21ao,J0709+0458,152.40474379514157,0.18137498632120924,-0.11642376224675434,0.19728910151686224,28
B1937+21ao,J0740+6620,92.07401713702319,-0.14056999018825167,0.5722071346940516,0.11368659985393886,38
B1937+21ao,J0931-1902,153.7301410118518,0.18748500361215237,-0.2350193253981724,0.15531855994435292,40
B1937+21ao,J1012+5307,98.2898765112969,-0.12225539671995211,-0.010976710216803206,0.11394684555864912,80
B1937+21ao,J1012-4235,141.9360342874486,0.12587544216031676,0.2716026117152521,0.30874400710315136,12
B1937+21ao,J1022+1001,128.9586315562366,0.045581824619672195,0.1016180990051183,0.19409099324220058,29
B1937+21gbt,B1953+29,8.362490126351295,0.4569100880388388,0.01176462164048602,0.14283737052537945,52
B1937+21gbt,J0023+0923,68.89563286653964,-0.12691286099772603,-0.1472400900030656,0.13566862334664642,55
B1937+21gbt,J0030+0451,72.14281115365982,-0.13755387353140713,0.06986863607160841,0.11195956422317307,82
B1937+21gbt,J0340+4130,96.10252846923181,-0.12958786204045558,0.08374534802745105,0.1178458422190424,74
B1937+21gbt,J0406+3039,106.90071728672946,-0.08529192116716522,-0.3215410345916896,0.21746019735775973,20
B1937+21gbt,J0437-4715,135.38070784693957,0.08625042110354986,-0.0756563683769284,0.27576257774785456,16
B1937+21gbt,J0509+0856,132.1392365360942,0.06585265792385764,-0.303661654138309,0.2201713179904274,20
B1937+21gbt,J0557+1551,134.98133296138866,0.08375835594926295,-0.10969761647217104,0.4418320207085106,8
B1937+21gbt,J0605+3757,116.44755320330594,-0.03274047650311429,-0.5412327503509667,0.2131887550269926,14
B1937+21gbt,J0610-2100,159.18215085921454,0.21000486831252668,-0.4750129325185224,0.14634079754619256,31
B1937+21gbt,J0613-0200,151.3665673477318,0.17642799594335035,-0.4801203468531808,0.0714448378179749,119
B1937+21gbt,J0614-3329,157.69136181802867,0.20428406903491242,0.4732537464542479,0.188215137309456,20
B1937+21gbt,J0636+5128,105.61277875679,-0.09155498399280249,-0.053405081212496736,0.12873123999837677,63
B1937+21gbt,J0645+5158,105.51459823717431,-0.09202280916910266,-0.2906498226461036,0.10366253054771093,81
B1937+21gbt,J0709+0458,152.40474375182083,0.18137498611769326,-0.09898032517495384,0.20647157649613973,26
B1937+21gbt,J0740+6620,92.0740170882245,-0.1405699903004345,0.48478646969102707,0.10507836975522808,56
B1937+21gbt,J0931-1902,153.73014099943484,0.18748500355601755,-0.4164587150181663,0.10583043730794255,64
B1937+21gbt,J1012+5307,98.28987646158195,-0.12225539689696296,-0.20551552902434603,0.08465512147637429,131
B1937+21gbt,J1012-4235,141.93603431154116,0.12587544230048864,0.1222101060309322,0.2202671609038775,23
B1937+21gbt,J1022+1001,128.95863151894616,0.04558182438130021,0.1688565215046885,0.18696285176316998,30
B1953+29,J0023+0923,65.36846948956556,-0.11194529329871405,0.18145793687765868,0.14258713739234502,49
B1953+29,J0030+0451,69.10191658738258,-0.1276781623994172,-0.09515623982621793,0.13125391007155224,60
B1953+29,J0340+4130,88.0668863919266,-0.14797544488575487,0.18165180714231383,0.15686853940961665,41
B1953+29,J0406+3039,99.10637945798258,-0.11928657017726685,-0.1920213719760893,0.2270113977901757,21
B1953+29,J0437-4715,137.92523438295132,0.10194631109288566,-0.17700770318556233,0.27963044408974463,15
B1953+29,J0509+0856,124.76834615866046,0.018825971448268974,-0.23925254219769912,0.22221024370839723,21
B1953+29,J0557+1551,126.7642051640452,0.03155241931833508,-0.09835744020085027,0.44288716797619326,8
B1953+29,J0605+3757,108.10228942136013,-0.07924550114541873,-0.016298635398535228,0.4470947952136842,8
B1953+29,J0610-2100,154.88704385309273,0.19262295390798856,0.02344879702267929,0.2771975982478775,16
B1953+29,J0613-0200,143.64574614553828,0.13569975718737515,-0.23994640167312217,0.1420760236528192,47
B1953+29,J0614-3329,157.9920370225633,0.20546526366680867,-0.8285236842324211,0.1185101953288915,10
B1953+29,J0636+5128,97.50015468535095,-0.12500861608432534,-0.10273549160771285,0.16266382483874675,40
B1953+29,J0645+5158,97.46345315315992,-0.1251336963971741,0.0005980897647496164,0.1490711451755238,48
B1953+29,J0709+0458,144.1045280076387,0.13829229628285222,0.2145689332907091,0.19891444647904136,26
B1953+29,J0740+6620,84.47047482957544,-0.15139206921013515,0.4553777379230365,0.13593511490033092,37
B1953+29,J0931-1902,155.97293220116046,0.19727422102076153,-0.10914798240825406,0.16945547412416478,37
B1953+29,J1012+5307,92.4996106224732,-0.13957185052427912,-0.1976361315242598,0.13589743233739573,53
B1953+29,J1012-4235,149.48163632072092,0.16710103037542023,-0.0506511367530392,0.35264633605687473,11
B1953+29,J1022+1001,127.09536943380735,0.033668663591001735,-0.04264706791206169,0.20813517379547367,26
J0023+0923,J0030+0451,4.866028121170432,0.48246866606906,0.23929398547987604,0.12170700261806246,63
J0023+0923,J0340+4130,53.83461562896109,-0.0384926504398736,0.5074125525383095,0.10717533490960102,51
J0023+0923,J0406+3039,55.941532735775624,-0.05464244125906825,0.5077717118584311,0.19162692485190247,18
J0023+0923,J0437-4715,79.68667356818806,-0.15087475582361787,0.09234956621932307,0.31353083573512347,13
J0023+0923,J0509+0856,70.47341500694797,-0.1324577844732563,0.08489955041494528,0.25633780927860755,18
J0023+0923,J0557+1551,81.31698039699671,-0.15172052048458584,-0.18349655865500233,0.48316450648088566,7
J0023+0923,J0610-2100,90.3469259231344,-0.14421004818425953,0.18845747387722186,0.30499655127958025,13
J0023+0923,J0613-0200,87.97499435535113,-0.14810172003062105,0.05605573219468566,0.14097697567195705,53
J0023+0923,J0614-3329,93.28805630104921,-0.13761930034176328,-0.4795602388633933,0.34436429708289473,8
J0023+0923,J0636+5128,84.6430661179979,-0.15130093689476598,-0.12188687795519003,0.15774922413665912,42
J0023+0923,J0645+5158,86.07775481423893,-0.15025618365906546,-0.14262503372442445,0.1358541350419482,55
J0023+0923,J0709+0458,100.43918943982354,-0.11418126332646905,0.2546967948425523,0.2040619959046726,24
J0023+0923,J0740+6620,88.96087369397054,-0.14664302719729705,-0.3836963756395481,0.144145637413003,38
J0023+0923,J0931-1902,137.34062008081557,0.09837052867464569,-0.14583461203041087,0.1567225908134713,42
J0023+0923,J1012+5307,111.58587062389874,-0.060707719045191455,-0.08404075346562465,0.13151773860340576,60
J0023+0923,J1012-4235,136.1476118322179,0.09101567595819526,-0.5990847792780555,0.24231205123334149,10
J0023+0923,J1022+1001,144.31854779778865,0.13949508405465716,-0.09835470548020561,0.1871540888533883,31
J0030+0451,J0340+4130,55.91662674502469,-0.054458454517582355,0.104524359594187,0.13987627958986992,53
J0030+0451,J0406+3039,56.85582827238478,-0.0612805554533673,0.267311285971062,0.202625060272233,24
J0030+0451,J0437-4715,75.02584277891891,-0.1445038009015095,0.4310769845213947,0.20354315835398532,19
J0030+0451,J0509+0856,69.25559633138442,-0.1282404107931956,0.30350668759823995,0.19811646353872026,24
J0030+0451,J0557+1551,80.77012262190739,-0.15151514213269723,-0.11094438359799096,0.403223302591102,9
J0030+0451,J0605+3757,82.01620142597888,-0.15186899181280944,0.08303653971386153,0.4054333911780153,9
J0030+0451,J0610-2100,87.04089533646334,-0.14927101350202254,-0.09192006369986751,0.23371074173209477,21
J0030+0451,J0613-0200,86.00758470036104,-0.15031911343835347,-0.3084971801412651,0.10518429166024282,77
J0030+0451,J0614-3329,89.29974173268168,-0.1460891085116366,0.08776725507718335,0.3307656363120722,12
J0030+0451,J0636+5128,87.07217541268535,-0.14923524562256396,0.08485704913547608,0.1432982330647566,51
J0030+0451,J0645+5158,88.55648901490264,-0.14726899420203599,0.10329736427244857,0.1310399139234748,60
J0030+0451,J0709+0458,99.17145615348758,-0.11904469094395942,0.20441899167269334,0.1844081539364071,30
J0030+0451,J0740+6620,92.47137973286509,-0.13963927957413347,-0.018258103267389168,0.15070541662898745,47
J0030+0451,J0931-1902,134.11797276780686,0.07834865711584887,-0.09553227299680199,0.14771071285050824,48
